"종류","문제","보기1","보기2","보기3","보기4","정답","해설"
"mcq","1958년부터 남극과 하와이 마우나로아 관측소에서 측정하고 있는 이산화탄소 농도를 그래프로 만든 것으로, 처음 이산화탄소 농도를 측정한 사람의 이름을 따서 지은 이 곡선은 무엇일까요?","하트곡선","킬러곡선","킬링곡선","캘린더곡선","킬링곡선","찰스 데이비드 킬링은 1958년부터 매일 이산화탄소를 측정해왔으며, 매년 증가하는 것을 발견하였다."
"mcq","기상재해로부터 국민의 안전을 위해 날씨, 기후변화 과학정보 등 국가기상업무를 관장하고 지원하는 우리나라 국가기관은 무엇일까요?","산림청","기상청","환경부","여성가족부","기상청","기상청에서는 날씨, 기후변화 과학정보 등 국가기상업무를 관장하고, 지원하는 국가기관이다."
"short","지구는 여러 종류의 기체로 둘러싸여 있는데 이러한 두꺼운 공기층을 무엇이라고 할까요?","","","","","대기","우리는 이러한 두꺼운 공기층을 대기라고 한다. 이러한 대기는 질소 78%, 산소 21%, 이산화탄소 0.03% 등으로 구성되어 있다."
"short","일종의 막과 같은 역할을 하여 지구의 온도를 따뜻하게 유지하는 기체를 무엇이라고 할까요?","","","","","온실가스","온실가스란 일종의 막과 같은 역할을 하여 지구 밖으로 날아가는 에너지를 붙잡아서 흡수하기 때문에 지구를 따뜻하게 지켜준다."
"short","한 여름밤에 제일 낮은 기온이 25℃ 이상인 무더위로 잠들기 어려운 밤을 무엇이라고 할까요?","","","","","열대야","열대야는 농촌보다 도시 지역에서 많이 나타나는데 사람, 건물, 공장 등에서 인공 열이 발생하기 때문이다."
"short","조선 시대에 강우량 분포를 측정하던 기구로, 조선 세종 때 처음 제작하여 전국에 보급 시행하였으며 조선 시대 전반에 걸쳐 활용되었던 우량 관측기구의 이름은 무엇일까요?","","","","","측우기","1441년 세종 23년에 발명된 세계 최초의 우량계로서 이탈리아보다 198년이나 먼저 만들어졌다."
"short","인간 활동이나 자연적인 원인으로 오랜 기간 동안 유지되어 왔던 기상현상이 평균 상태를 벗어나는 것을 가리키는 말은 무엇일까요?","","","","","기후변화","자연적인 기후변동의 범위를 벗어나 더 이상 평균적인 상태로 돌아오지 않는 기후체계의 변화를 기후변화라고 한다."
"short","최근 지구온난화의 원인 중 하나인 메탄 주범으로 대두된 이 동물은 무엇일까요? 이 동물이 내뿜는 메테인은 하루에 800L에서 1000L에 달한다고 한다.","","","","","소","소가 소화하는 과정에서 많은 양의 메테인을 배출한다. 전 세계 온실가스의 18%는 가축에게서 나오는 메탄이다."
"short","온실가스 배출을 줄이기 위한 구체적인 계획과 의무들을 명기한 기후변화협약의 결과로 1997년 일본에서 채택되었고, 이후 파리협정이 이것을 대체하게 되었다. 이것은 무엇일까요?","","","","","교토의정서","교토의정서는 산업화된 국가들의 의무 감축목표를 설정하고 있으며, 구체적이지 못했던 온실가스 목표량을 구체화 한 파리협정이 출범하기 전까지 지속되었다."
"short","기상현상 중 하나로 순우리말로 누리라고도 하며 대기가 불안정하여 적란운에서 떨어지는 불규칙한 얼음 알갱이나 덩어리는 무엇일까요?","","","","","우박","우박은 하늘에서 눈의 결정 주위에 차가운 물방울이 얼어붙어 땅 위로 떨어지는 얼음덩이를 말한다."
"short","엘니뇨의 반대 현상으로 여자아이라는 뜻을 가지고 있으며 중동 태평양의 해수면 온도가 평상시보다 낮아지고 무역풍이 강해지는 현상을 의미하는 이 단어는 무엇일까요?","","","","","라니냐","엘리뇨와 라니냐는 대기와 해양의 흐름으로 지구 기상 기후에 영향을 미친다."
"short","프랑스 하원은 기후위기에 이 배출량이 높은 이동수단인 비행기 운항을 축소하고자 열차로 2시간 30분 이내로 이동 가능한 거리의 항공편을 금지하는 법안을 통과시켰다. 여기서 감소시키고자 한 것은 무엇일까요?","","","","","탄소배출","기차에 비교했을 때 비행기의 탄소 배출량은 3배에 달한다."
